#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
153,Max Meyer,,15,15,76.1,4,5,5,0,0,74,37,10,70,29,8.22,3.37,2.44,1.16,0.25,1.34,0.297,69.70%,4.41,4.35,413.7,1.99,-2.11,0.17
154,Andres Munoz,SEA,0,57,58.1,4,4,0,28,4,44,19,5,78,22,12.02,3.32,3.62,0.71,0.207,1.13,0.303,75.90%,2.95,2.9,83.1,2.5,0.42,1.84
155,Michael Soroka,CHW,20,24,110.2,5,8,6,0,0,107,57,16,95,37,7.75,2.99,2.59,1.3,0.251,1.3,0.289,67.70%,4.62,4.61,513.3,3.39,-0.49,0.61
156,Clayton Kershaw,LAD,10,10,55.1,4,3,4,0,0,50,23,8,55,16,8.99,2.64,3.4,1.23,0.237,1.2,0.287,74.00%,3.75,4,467.9,2.59,-0.4,0.76
157,Ryan Helsley,STL,0,57,60.2,4,3,0,26,4,45,21,6,79,26,11.79,3.82,3.09,0.89,0.205,1.17,0.29,76.80%,3.13,3.29,94.1,2.66,-1.03,1.63
158,Devin Williams,MIL,0,57,57,4,3,0,29,2,40,18,5,80,27,12.7,4.22,3.01,0.79,0.194,1.17,0.29,78.60%,2.87,3.1,57.6,2.29,0.41,1.79
159,Camilo Doval,SFG,0,63,63.2,5,4,0,32,2,52,23,5,78,27,10.96,3.77,2.91,0.7,0.219,1.23,0.304,74.30%,3.29,3.28,57.7,2.05,-1.84,1.95
160,Randy Vasquez,SDP,17,24,97,5,5,4,0,1,90,45,13,84,40,7.77,3.7,2.1,1.2,0.244,1.34,0.282,72.60%,4.17,4.7,557.4,3.39,2.14,0.33
161,Alek Manoah,TOR,20,21,109.2,7,7,7,0,0,101,55,16,99,46,8.1,3.76,2.16,1.29,0.241,1.34,0.281,69.70%,4.52,4.82,395.7,3.96,0.73,0.7
162,Jake Irvin,WSN,23,23,121.2,5,7,7,0,0,122,66,19,97,47,7.21,3.51,2.05,1.42,0.257,1.39,0.287,68.70%,4.87,5.05,681.4,2.43,0.73,1.17
163,David Peterson,NYM,11,25,71,4,4,4,0,1,66,32,8,77,31,9.75,3.89,2.5,1.07,0.243,1.37,0.31,72.80%,4.08,4.08,706.4,5.44,-0.48,0.38
164,Josiah Gray,WSN,28,28,160,8,11,9,0,0,153,87,29,147,72,8.26,4.08,2.03,1.63,0.248,1.41,0.282,70.70%,4.91,5.28,383,5.26,0,2.24
165,Domingo German,PIT,13,15,77.1,4,5,4,0,0,72,38,12,73,24,8.5,2.74,3.11,1.45,0.242,1.23,0.281,69.40%,4.41,4.51,630.2,2.41,-0.41,0.43
166,Yuki Matsui,SDP,0,60,61,2,2,0,12,11,49,24,6,78,26,11.53,3.84,3,0.86,0.218,1.24,0.306,73.90%,3.49,3.32,271.8,4.91,-2.85,1.09
167,Jacob deGrom,TEX,5,5,25.2,2,1,2,0,0,19,9,3,35,5,12.18,1.82,6.7,1.03,0.204,0.94,0.29,74.30%,2.99,2.71,415.5,3.46,0.55,1.35
168,Casey Mize,DET,18,18,96.2,5,6,6,0,0,97,48,14,75,28,6.95,2.64,2.64,1.29,0.257,1.29,0.288,68.70%,4.49,4.61,435.4,2.63,0.67,0.29
169,Mason Black,SFG,11,33,81.2,4,5,4,0,1,77,39,10,78,31,8.58,3.4,2.52,1.14,0.246,1.32,0.296,70.50%,4.27,4.3,999,1.81,-0.7,0.13
170,Ricky Tiedemann,TOR,9,15,53.1,2,4,3,0,0,45,24,6,62,24,10.5,4.1,2.56,1.04,0.225,1.3,0.295,71.80%,3.99,3.96,999,2.66,-0.91,0.62
171,Bryan Abreu,HOU,0,61,63.1,3,2,0,3,17,47,21,6,85,28,12.09,3.94,3.07,0.82,0.205,1.19,0.297,77.60%,3.02,3.23,368,1.26,1.16,1.07
172,Jared Jones,PIT,16,18,84.1,4,6,4,0,0,83,45,11,76,35,8.15,3.74,2.18,1.22,0.253,1.4,0.298,67.60%,4.82,4.63,999,2.41,0.29,0.55
173,Matt Strahm,PHI,1,59,65.1,5,4,0,1,9,56,26,9,77,19,10.6,2.55,4.16,1.2,0.228,1.14,0.296,73.40%,3.65,3.63,505.2,2.34,-0.99,0.75
174,Josh Hader,HOU,0,60,59,3,3,0,34,2,42,20,7,86,26,13.05,4.01,3.25,1.04,0.197,1.16,0.292,78.90%,3.08,3.36,47,1.46,-0.3,2.15
175,Trevor Megill,MIL,0,52,55.2,3,2,0,3,9,50,24,7,72,21,11.62,3.41,3.41,1.07,0.236,1.27,0.325,72.40%,3.91,3.48,639.7,5.02,-0.48,0.63
176,Alex Wood,OAK,20,24,115.1,6,8,6,0,0,114,58,15,95,39,7.39,3.08,2.4,1.19,0.255,1.33,0.293,68.80%,4.5,4.58,569.6,3.66,-1.13,0.63
177,Marco Gonzales,PIT,22,27,132.2,7,9,9,0,0,143,71,20,86,41,5.81,2.8,2.07,1.35,0.271,1.39,0.292,68.40%,4.82,4.94,625.5,2.94,1.24,1.38
178,Marco Gonzales,PIT,22,27,132.2,7,9,9,0,0,143,71,20,86,41,5.81,2.8,2.07,1.35,0.271,1.39,0.292,68.40%,4.82,4.94,748.2,2.94,1.24,1.38
179,Daniel Lynch IV,KCR,17,23,91.2,5,6,5,0,0,97,50,14,73,33,7.2,3.19,2.26,1.39,0.267,1.41,0.301,68.70%,4.89,4.84,715.3,2.08,-1.21,0.75
