#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
498,David Hamilton,BOS,9,30,27,6,1,0,1,4,3,3,8,0,1,0,9.50%,25.50%,0.119,0.284,0.223,0.299,0.342,0.64,0.285,72,750.5,1.88,-0.47,2.04
499,Tyler Soderstrom,OAK,82,307,283,61,11,1,10,28,34,19,89,2,1,0,6.30%,29.00%,0.149,0.278,0.217,0.27,0.366,0.636,0.275,76,488,2.6,-1.56,0.79
500,Alan Trejo,COL,42,146,135,33,8,1,4,16,16,8,34,1,2,1,5.60%,23.60%,0.143,0.302,0.246,0.293,0.389,0.682,0.296,68,748.3,2.4,2.41,1.59
501,Brett Wisely,,19,63,56,12,3,0,1,7,6,5,17,0,2,0,8.70%,26.90%,0.113,0.292,0.22,0.291,0.333,0.624,0.277,72,999,2.44,-0.22,1.9
502,Drew Romo,COL,10,36,33,8,2,0,1,4,4,2,7,0,1,0,5.70%,19.80%,0.143,0.295,0.253,0.298,0.396,0.695,0.301,72,999,1.39,-0.23,2.03
503,Jonathan Ornelas,,14,39,36,8,1,0,1,5,4,3,11,0,1,0,7.30%,28.50%,0.095,0.311,0.228,0.291,0.322,0.614,0.273,68,999,2.9,1.48,1.99
504,David Fletcher,ATL,41,153,143,38,6,0,1,17,13,7,14,1,2,1,4.80%,9.20%,0.067,0.287,0.264,0.303,0.33,0.634,0.28,71,749.2,3.35,2.81,1.73
505,Damiano Palmegiani,TOR,11,36,33,7,2,0,1,4,4,3,11,0,0,0,8.30%,29.10%,0.154,0.281,0.214,0.289,0.369,0.658,0.289,83,999,0.82,1.76,1.97
506,DJ Stewart,NYM,52,195,170,37,7,0,8,22,24,20,57,4,1,0,10.10%,29.30%,0.19,0.269,0.217,0.309,0.407,0.717,0.312,96,657.3,5.01,0.16,1.18
507,Jose Herrera,ARI,27,90,80,17,3,0,1,9,7,9,22,0,0,0,9.50%,24.10%,0.065,0.286,0.215,0.293,0.28,0.573,0.261,60,750.9,2.56,0.39,1.77
508,Hanser Alberto,,23,79,74,19,4,0,1,8,8,2,11,1,1,0,3.10%,14.50%,0.124,0.283,0.256,0.284,0.38,0.663,0.286,78,999,1.88,-0.82,1.89
509,Mike Brosseau,KCR,14,45,41,9,1,0,1,5,6,3,12,1,0,0,7.40%,26.90%,0.14,0.287,0.228,0.295,0.368,0.662,0.291,82,750.5,3.9,2.12,1.94
510,Taylor Trammell,SEA,29,99,88,17,4,0,3,11,11,10,33,1,2,1,10.40%,33.60%,0.166,0.274,0.2,0.288,0.365,0.654,0.288,85,999,3.33,1.05,1.65
511,Jose Fermin,STL,10,34,30,8,1,0,1,4,4,3,5,0,0,0,8.60%,13.50%,0.098,0.276,0.249,0.322,0.346,0.669,0.298,87,999,2.74,0.74,2.02
512,Josh Harrison,,31,114,104,26,5,0,2,12,11,6,20,4,1,0,5.10%,17.80%,0.103,0.293,0.249,0.309,0.352,0.662,0.293,83,751,4.69,0.43,1.75
513,Charlie Blackmon,COL,108,469,419,114,22,4,11,59,51,37,75,9,4,1,7.90%,16.00%,0.15,0.308,0.272,0.341,0.422,0.763,0.332,93,427.2,2.62,0.67,0.78
514,Charles Leblanc,LAA,11,33,30,7,1,0,1,4,3,3,10,0,0,0,8.00%,31.10%,0.135,0.323,0.233,0.3,0.368,0.668,0.294,83,999,1.56,-0.67,2.02
515,Donny Sands,DET,19,53,48,11,2,0,1,5,4,4,12,0,0,0,7.80%,23.30%,0.09,0.282,0.22,0.285,0.311,0.596,0.266,65,999,0.84,-0.7,1.94
516,Joey Votto,,65,251,217,46,9,1,10,27,31,29,69,4,0,0,11.50%,27.40%,0.185,0.262,0.214,0.315,0.398,0.713,0.312,99,678.1,3.67,-0.86,0.9
517,Jorge Barrosa,,6,25,23,5,1,0,0,3,2,2,5,0,1,0,9.00%,20.50%,0.083,0.302,0.239,0.312,0.321,0.633,0.284,75,999,1.76,0.04,2.06
518,James Wood,WSN,36,147,132,30,7,1,5,17,17,12,47,1,3,1,8.40%,32.20%,0.177,0.313,0.23,0.299,0.406,0.705,0.305,89,999,2.27,0.23,1.53
519,Terrin Vavra,BAL,22,52,46,11,2,0,1,6,5,5,11,1,1,0,9.40%,21.10%,0.1,0.303,0.243,0.322,0.343,0.665,0.297,89,999,1.86,-0.63,1.96
520,Zach Remillard,,23,83,74,17,3,0,1,9,7,6,22,1,2,1,7.20%,26.10%,0.093,0.301,0.226,0.296,0.319,0.615,0.275,71,999,2.19,0.62,1.86
521,Angel Martinez,CLE,10,37,35,8,2,0,1,4,4,2,8,0,0,0,6.60%,22.20%,0.121,0.287,0.233,0.287,0.354,0.641,0.281,78,999,1.9,-0.6,2.01
522,Wil Myers,,48,173,156,36,7,0,4,19,19,15,52,1,2,1,8.50%,30.10%,0.138,0.317,0.233,0.301,0.372,0.672,0.294,84,999,1.45,-1.93,1.42
523,Austin Shenton,,7,27,24,5,1,0,1,3,3,3,8,0,0,0,10.30%,31.00%,0.136,0.312,0.225,0.31,0.361,0.671,0.297,86,999,2.88,1.17,2.02
524,Evan White,LAA,12,49,45,10,2,0,2,6,6,4,13,1,0,0,7.80%,26.60%,0.175,0.274,0.226,0.297,0.401,0.697,0.304,90,999,1.93,-0.81,1.92
525,Christian Arroyo,MIL,24,78,73,18,3,0,1,9,9,4,17,1,1,0,5.20%,21.40%,0.106,0.302,0.248,0.292,0.354,0.645,0.282,74,748.7,3.83,-0.11,1.84
526,Tommy La Stella,,20,66,60,15,3,0,1,7,6,5,11,0,0,0,8.00%,16.00%,0.114,0.273,0.241,0.303,0.355,0.659,0.29,81,999,1.72,0.05,1.9
527,Nathan Lukes,TOR,33,77,70,18,4,0,1,8,7,5,15,1,1,0,6.50%,19.10%,0.099,0.303,0.253,0.306,0.352,0.658,0.289,83,999,1.57,1.72,1.9
528,Blake Perkins,MIL,21,69,61,13,3,0,1,8,6,8,19,0,2,0,10.80%,27.50%,0.118,0.297,0.22,0.308,0.338,0.646,0.289,79,751,1.91,1.26,1.86
529,Daniel Vogelbach,,32,115,98,22,3,0,4,14,15,16,28,0,0,0,14.00%,24.80%,0.151,0.282,0.23,0.34,0.38,0.72,0.319,104,750.1,5.14,0.4,1.57
530,Leo Jimenez,,6,22,20,5,1,0,0,2,2,2,4,1,0,0,8.00%,19.80%,0.072,0.304,0.241,0.325,0.312,0.637,0.29,83,999,1.69,0.06,2.07
531,Andy Pages,,13,42,38,9,2,0,1,5,5,4,11,1,0,0,9.10%,27.00%,0.149,0.295,0.226,0.31,0.376,0.686,0.302,89,999,0.75,1.76,1.95
532,Chadwick Tromp,ATL,7,24,22,5,1,0,1,2,3,2,6,0,0,0,7.30%,25.80%,0.147,0.266,0.215,0.275,0.362,0.637,0.279,70,999,2.34,1.05,2.04
533,Casey Schmitt,SFG,30,108,99,23,5,0,2,11,11,6,25,2,1,0,5.20%,23.50%,0.123,0.291,0.235,0.284,0.358,0.642,0.281,74,669,3.37,1.15,1.72
534,Jake Cave,PHI,39,143,129,30,7,1,4,16,16,11,40,2,1,0,7.40%,28.00%,0.15,0.304,0.232,0.3,0.382,0.681,0.298,84,999,3.78,0.33,1.52
535,Brady House,WSN,8,32,30,7,1,0,1,3,3,2,9,1,0,0,4.80%,27.40%,0.13,0.317,0.244,0.294,0.374,0.668,0.292,80,999,1.36,-0.47,2.03
536,Jo Adell,LAA,70,274,251,56,12,1,11,32,33,18,93,3,4,1,6.60%,34.00%,0.185,0.306,0.224,0.283,0.408,0.691,0.297,85,554,4.91,-1.45,0.89
537,Danny Mendick,,22,69,63,15,3,0,1,7,6,5,14,1,1,0,7.00%,20.20%,0.1,0.285,0.237,0.297,0.336,0.633,0.281,75,999,2.68,3.25,1.9
538,J.P. Martinez,,21,74,66,14,3,0,2,9,7,7,24,1,3,1,9.50%,31.90%,0.141,0.296,0.214,0.292,0.354,0.646,0.284,74,749.8,2.98,1.15,1.85
539,Coco Montes,COL,8,27,25,6,1,0,1,3,3,2,8,0,0,0,7.20%,28.80%,0.173,0.312,0.241,0.301,0.414,0.715,0.31,78,738.1,1.3,-0.58,2.05
540,Jake Lamb,PIT,15,49,43,10,2,0,1,6,5,5,14,0,0,0,10.30%,27.70%,0.106,0.298,0.221,0.308,0.327,0.635,0.286,75,999,2.16,0.68,1.92
541,Jahmai Jones,NYY,9,26,23,5,1,0,1,3,3,3,8,0,0,0,10.60%,28.90%,0.12,0.296,0.219,0.306,0.338,0.645,0.289,80,999,2.99,1.86,2.04
542,Samad Taylor,SEA,12,41,37,8,2,0,1,5,4,4,11,0,3,1,9.90%,26.80%,0.105,0.308,0.227,0.308,0.331,0.639,0.286,83,736,2.77,0.71,2.03
543,Anthony Bemboom,DET,16,39,35,7,1,0,1,3,3,3,9,0,0,0,8.40%,22.90%,0.111,0.248,0.203,0.276,0.314,0.59,0.264,63,999,0.69,1.93,1.98
544,Michael Perez,BAL,11,40,36,7,1,0,1,4,4,3,10,0,0,0,8.30%,25.70%,0.114,0.238,0.193,0.263,0.307,0.571,0.254,60,999,3.04,2.82,1.95
545,Gavin Sheets,CHW,77,299,263,61,12,0,10,26,34,32,60,2,1,0,10.70%,19.90%,0.157,0.262,0.232,0.317,0.389,0.706,0.309,94,671.2,2.06,0.08,0.97
546,Yasiel Puig,,14,61,55,13,3,0,2,7,7,5,15,1,1,0,7.40%,24.90%,0.152,0.292,0.237,0.304,0.389,0.693,0.303,89,999,0.83,0.22,1.89
547,Julio Carreras,,11,45,42,10,3,0,1,6,4,3,11,0,1,0,6.10%,24.60%,0.118,0.319,0.247,0.297,0.364,0.661,0.29,64,999,2.13,-0.49,1.99
548,Andrew Stevenson,,24,46,43,10,2,0,1,5,4,3,11,1,2,0,5.80%,24.50%,0.119,0.308,0.242,0.298,0.36,0.658,0.289,83,999,2.29,-0.34,2.02
549,Austin Martin,,10,39,34,8,2,0,0,4,3,4,8,1,1,0,9.40%,20.00%,0.065,0.296,0.233,0.323,0.298,0.621,0.285,80,999,2.56,1.89,2.02
