#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
141,Alec Bohm,PHI,141,595,543,149,28,1,16,71,76,40,102,5,4,2,6.80%,17.10%,0.146,0.307,0.273,0.326,0.419,0.745,0.322,101,169.2,2.38,1.64,0.67
142,Josh Lowe,TBR,126,514,467,120,28,3,16,65,65,40,139,3,25,4,7.80%,27.10%,0.177,0.33,0.257,0.317,0.433,0.75,0.322,103,83.4,3.2,0.84,0.86
143,Ryan McMahon,COL,143,596,527,129,27,2,22,75,73,62,172,4,6,3,10.40%,28.80%,0.183,0.319,0.245,0.327,0.429,0.756,0.327,89,227.6,2.51,0.77,0.52
144,Brendan Donovan,STL,123,508,442,122,22,1,10,66,51,50,77,12,6,2,9.90%,15.20%,0.127,0.311,0.275,0.362,0.401,0.763,0.337,113,293.7,3.55,-1.21,0.86
145,Spencer Steer,CIN,138,583,515,132,30,2,20,72,75,55,125,9,9,3,9.40%,21.50%,0.182,0.299,0.256,0.336,0.438,0.774,0.336,105,115.4,3.34,0.8,0.22
146,Christopher Morel,CHC,129,529,476,115,22,3,26,71,73,45,162,4,10,4,8.50%,30.60%,0.223,0.307,0.242,0.311,0.465,0.776,0.331,109,190,1.95,0.22,0.63
147,Colt Keith,DET,117,482,435,112,24,3,14,55,58,39,109,3,3,1,8.10%,22.70%,0.165,0.309,0.257,0.32,0.422,0.742,0.321,103,287.5,2.62,0.52,0.35
148,DJ LeMahieu,NYY,120,512,451,114,19,2,11,61,48,54,95,3,3,1,10.50%,18.50%,0.121,0.297,0.253,0.335,0.375,0.71,0.314,97,340.4,4.31,-1.03,0.45
149,Leody Taveras,TEX,119,473,433,111,23,3,12,57,52,33,107,2,14,4,7.00%,22.70%,0.146,0.312,0.255,0.309,0.401,0.71,0.308,92,270.6,3.4,-1.14,0.69
150,Jorge Soler,SFG,131,556,484,117,22,0,29,71,77,62,140,6,1,0,11.10%,25.20%,0.228,0.276,0.242,0.332,0.47,0.802,0.343,117,170.9,3.36,-0.08,0.97
151,Trent Grisham,NYY,95,370,318,71,15,1,14,48,42,43,101,4,9,2,11.60%,27.20%,0.184,0.277,0.222,0.321,0.406,0.727,0.318,100,520.5,3.52,0.64,0.7
152,Masataka Yoshida,BOS,135,572,515,150,30,2,16,71,73,46,75,7,6,1,8.00%,13.00%,0.16,0.312,0.291,0.354,0.45,0.804,0.347,116,194.5,2.2,-0.32,0.99
153,Orlando Arcia,ATL,127,504,457,115,21,0,17,61,61,39,98,3,2,1,7.80%,19.40%,0.156,0.283,0.251,0.312,0.407,0.719,0.312,93,331.9,4.98,-0.37,0.18
154,Wyatt Langford,TEX,119,506,446,115,24,2,18,64,64,50,111,6,13,4,10.00%,21.90%,0.186,0.304,0.259,0.34,0.445,0.784,0.339,114,149.4,8.42,-0.64,0.32
155,Geraldo Perdomo,ARI,117,447,381,92,16,3,6,55,37,50,84,5,13,4,11.20%,18.80%,0.104,0.292,0.24,0.334,0.344,0.679,0.303,88,424.2,2.66,-0.23,0.95
156,Jake Rogers,DET,97,360,324,70,13,2,16,42,45,29,116,3,2,1,8.00%,32.00%,0.2,0.278,0.217,0.286,0.417,0.703,0.302,90,324.7,3.47,1.36,0.59
157,Austin Hays,BAL,133,550,504,129,28,2,17,67,65,35,123,6,4,2,6.40%,22.40%,0.163,0.305,0.256,0.31,0.419,0.729,0.315,102,316.9,1.92,-0.08,0.16
158,Henry Davis,PIT,116,476,414,101,21,2,15,55,54,48,114,10,9,4,10.10%,24.00%,0.166,0.298,0.243,0.335,0.409,0.744,0.324,101,243.2,2.59,-1.43,0.37
159,Jose Siri,TBR,118,457,422,95,18,3,20,60,57,28,157,4,19,4,6.10%,34.30%,0.198,0.301,0.224,0.277,0.422,0.699,0.299,87,286,2.59,0.1,1
160,Brendan Rodgers,COL,122,513,469,129,27,2,14,62,61,35,99,6,0,0,6.80%,19.30%,0.158,0.321,0.276,0.331,0.433,0.765,0.331,92,335,3.59,-0.84,0.77
161,Jeimer Candelario,CIN,134,559,497,125,29,2,20,71,73,50,127,8,5,1,8.90%,22.70%,0.19,0.296,0.251,0.328,0.441,0.769,0.332,102,215.8,3.09,-0.84,0.37
162,Masyn Winn,STL,120,480,433,106,20,3,10,58,47,34,95,3,13,3,7.10%,19.70%,0.128,0.288,0.244,0.301,0.372,0.674,0.294,83,361,1.83,-2.09,0.72
163,Jarren Duran,BOS,130,526,479,125,30,5,13,71,54,38,133,6,28,5,7.10%,25.30%,0.165,0.335,0.262,0.321,0.427,0.748,0.323,99,149.6,3.22,-0.15,1.19
164,Ryan Mountcastle,BAL,128,537,486,128,23,1,22,66,73,41,129,4,4,1,7.60%,24.00%,0.188,0.311,0.263,0.322,0.451,0.773,0.331,112,245.1,2.93,-2.06,0.45
165,Jake Cronenworth,SDP,139,583,513,126,28,5,14,69,65,52,105,11,5,2,9.00%,17.90%,0.157,0.28,0.246,0.327,0.403,0.729,0.318,100,349.7,1.78,-0.54,0.31
166,Matt Wallner,MIN,111,446,384,89,20,2,17,56,57,49,147,11,3,1,11.00%,33.00%,0.198,0.324,0.232,0.335,0.43,0.765,0.332,112,320.7,3.15,0.54,0.33
167,Alex Verdugo,NYY,125,529,481,128,27,2,13,66,57,40,82,4,4,2,7.50%,15.40%,0.148,0.295,0.267,0.325,0.414,0.74,0.32,101,312,3.12,-0.85,0.53
168,Lourdes Gurriel Jr.,ARI,131,543,501,139,31,2,16,64,70,33,96,5,5,2,6.00%,17.60%,0.167,0.312,0.277,0.326,0.444,0.77,0.331,107,236.1,2.18,0.14,0.69
169,Justin Turner,TOR,121,515,458,118,24,0,15,62,67,43,92,8,3,1,8.40%,17.90%,0.155,0.288,0.258,0.329,0.413,0.742,0.323,107,249.8,4,0.74,0.32
170,Austin Wells,NYY,89,351,314,73,16,1,13,40,46,30,86,4,4,1,8.60%,24.40%,0.178,0.275,0.232,0.305,0.41,0.715,0.309,94,295.4,3.43,0.56,0.59
171,Nolan Schanuel,LAA,117,487,414,110,19,2,9,64,45,62,78,7,3,1,12.80%,16.10%,0.12,0.308,0.266,0.37,0.387,0.757,0.337,113,393.6,3.65,-1.05,0.79
172,Marcell Ozuna,ATL,130,544,490,125,22,1,30,72,83,48,125,3,1,1,8.90%,23.00%,0.23,0.282,0.255,0.324,0.485,0.809,0.345,115,163.9,3.26,-1.14,0.92
173,Mitch Garver,SEA,108,441,383,90,16,0,21,54,59,51,112,5,1,0,11.50%,25.50%,0.206,0.277,0.236,0.331,0.442,0.773,0.334,117,178.6,2.67,0.51,0.5
174,Ezequiel Tovar,COL,146,605,565,149,32,4,16,77,70,30,147,5,13,4,5.00%,24.30%,0.155,0.328,0.263,0.304,0.418,0.723,0.311,79,188.9,4.44,1.17,0.39
175,Christian Encarnacion-Strand,CIN,125,510,465,124,23,2,26,66,79,35,136,7,3,1,6.80%,26.70%,0.225,0.319,0.266,0.325,0.491,0.816,0.347,112,160.1,4.32,-0.1,0.68
176,Jonathan India,CIN,120,513,445,113,24,1,16,69,59,49,109,15,11,3,9.60%,21.10%,0.166,0.299,0.254,0.345,0.421,0.766,0.335,105,279.9,2.6,0.79,0.31
177,Harrison Bader,NYM,105,410,376,92,17,2,11,49,44,25,80,5,20,5,6.10%,19.40%,0.143,0.279,0.244,0.297,0.387,0.684,0.297,85,357,3.78,-1.1,1.12
178,Yan Gomes,CHC,98,366,338,85,16,1,10,38,45,18,71,6,1,1,4.80%,19.40%,0.138,0.289,0.252,0.297,0.39,0.687,0.297,86,358.8,2.06,0.37,0.75
179,Ryan Noda,OAK,125,513,430,94,20,1,18,62,54,69,170,9,5,2,13.50%,33.10%,0.175,0.309,0.218,0.337,0.393,0.729,0.322,109,419.7,2.51,0.97,0.69
180,Luis Urias,SEA,89,346,299,67,13,1,10,38,36,36,80,8,2,1,10.30%,23.20%,0.153,0.271,0.225,0.322,0.378,0.7,0.31,100,595.8,1.99,0,0.62
181,Ty France,SEA,145,602,539,140,28,1,15,70,65,40,102,19,1,0,6.60%,17.00%,0.137,0.295,0.26,0.33,0.397,0.727,0.319,106,311.6,1.54,-0.33,0.45
182,Parker Meadows,DET,123,511,458,105,20,5,13,61,49,44,125,4,15,3,8.50%,24.40%,0.151,0.285,0.23,0.3,0.381,0.682,0.297,86,279.3,2.82,-0.09,0.82
183,Kevin Kiermaier,TOR,105,403,366,89,18,4,7,49,38,29,93,4,11,3,7.30%,23.10%,0.13,0.306,0.244,0.305,0.374,0.678,0.296,88,529.9,3.31,1.41,0.89
184,Jordan Walker,STL,132,545,490,131,25,2,18,66,64,44,124,7,10,3,8.00%,22.80%,0.17,0.323,0.268,0.335,0.438,0.773,0.334,111,125.3,2.43,-0.74,0.37
185,Mark Canha,DET,126,508,436,112,23,2,12,59,55,52,88,15,7,2,10.20%,17.30%,0.141,0.293,0.256,0.352,0.397,0.749,0.331,110,418.8,2,1.23,0.42
186,Jackson Chourio,MIL,127,521,482,122,24,2,15,62,62,31,113,3,21,5,5.90%,21.60%,0.156,0.298,0.253,0.3,0.409,0.709,0.305,90,135.8,2.95,1.01,0.77
187,Lane Thomas,WSN,142,605,550,137,30,3,21,79,70,43,151,7,16,5,7.10%,25.00%,0.18,0.304,0.25,0.31,0.43,0.74,0.319,98,122.8,1.77,-0.22,0.48
188,Eloy Jimenez,CHW,125,522,478,131,23,0,23,60,73,37,107,3,0,0,7.10%,20.40%,0.191,0.307,0.273,0.327,0.465,0.792,0.339,114,232.9,4.44,0.38,0.79
189,Chris Taylor,LAD,101,392,345,80,18,2,13,50,48,40,125,4,11,3,10.10%,31.70%,0.173,0.32,0.231,0.317,0.404,0.721,0.314,97,384.5,3.47,-0.09,0.64
190,Michael Massey,KCR,111,445,407,101,22,1,14,49,54,26,96,6,6,2,5.90%,21.60%,0.163,0.289,0.248,0.3,0.411,0.711,0.306,92,401.2,2.38,-0.04,0.43
191,MJ Melendez,KCR,133,557,488,119,26,4,20,71,65,62,145,3,5,3,11.00%,26.00%,0.195,0.301,0.244,0.329,0.438,0.768,0.331,109,300.1,3.48,-1.65,0.39
192,Junior Caminero,,76,318,292,77,13,1,12,39,43,21,66,3,3,1,6.70%,20.60%,0.175,0.304,0.265,0.319,0.44,0.76,0.327,106,254.2,7.13,0.37,0.94
193,Brandon Drury,LAA,127,527,485,122,25,2,23,65,74,31,130,6,1,1,5.90%,24.80%,0.203,0.295,0.251,0.303,0.454,0.757,0.323,103,218.9,1.83,0.62,0.58
194,Luis Campusano,SDP,111,430,394,103,18,1,13,48,54,27,75,5,0,0,6.30%,17.40%,0.149,0.291,0.261,0.315,0.41,0.725,0.314,97,189.1,2.21,-0.02,0.61
195,Kerry Carpenter,DET,129,534,485,125,23,2,23,66,72,38,131,8,6,2,7.10%,24.50%,0.198,0.306,0.258,0.32,0.456,0.776,0.332,111,233.3,3.02,0.75,0.37
196,Mike Yastrzemski,SFG,118,470,409,94,24,2,17,59,54,51,120,5,4,1,10.90%,25.50%,0.19,0.279,0.229,0.32,0.419,0.74,0.32,102,516.6,1.53,-0.15,0.37
197,Bryan De La Cruz,MIA,138,561,516,137,28,1,20,63,69,37,128,3,4,1,6.60%,22.80%,0.173,0.315,0.266,0.315,0.439,0.754,0.324,102,276.5,3.73,-0.34,0.42
198,Ramon Laureano,CLE,105,436,388,90,20,2,13,53,48,34,117,11,12,3,7.80%,26.90%,0.163,0.297,0.232,0.311,0.395,0.706,0.309,97,447.6,4.55,-0.54,0.67
199,Travis d'Arnaud,ATL,82,324,297,73,15,1,11,39,43,21,74,5,0,0,6.60%,22.80%,0.171,0.29,0.246,0.306,0.417,0.723,0.313,93,392.1,1.85,1.44,0.68
200,Kyle Isbel,KCR,106,399,364,89,20,3,10,50,41,27,83,4,11,3,6.80%,20.90%,0.153,0.289,0.243,0.3,0.396,0.696,0.301,89,523.7,4.86,-1,0.78
201,LaMonte Wade Jr.,SFG,116,471,399,97,17,2,16,58,51,59,91,7,3,1,12.50%,19.30%,0.171,0.274,0.242,0.347,0.413,0.76,0.333,110,394,1.08,-0.11,0.24
202,Dylan Carlson,STL,91,359,314,78,18,2,9,43,39,35,71,6,4,1,9.80%,19.70%,0.152,0.293,0.25,0.333,0.402,0.735,0.321,102,557.3,2.52,-0.71,0.75
203,Brent Rooker,OAK,128,519,458,105,21,1,25,59,67,48,170,9,4,1,9.20%,32.70%,0.21,0.3,0.228,0.312,0.439,0.751,0.323,110,306.2,1.84,0.94,0.84
204,Jon Berti,MIA,94,360,322,84,14,2,5,44,29,31,72,3,19,5,8.60%,20.10%,0.109,0.317,0.26,0.329,0.369,0.698,0.308,91,443.6,2.22,-1.11,1.53
205,Andrew Vaughn,CHW,143,595,541,141,29,1,22,68,76,39,117,9,0,0,6.60%,19.70%,0.179,0.293,0.261,0.32,0.44,0.759,0.327,106,241.4,2.69,-1,0.6
206,Rene Pinto,TBR,101,357,336,77,17,1,14,36,43,16,117,3,1,0,4.50%,32.90%,0.176,0.304,0.228,0.268,0.404,0.671,0.288,79,356.5,1.82,0.27,0.65
207,Brice Turang,MIL,119,462,414,100,18,3,8,51,43,41,94,2,21,4,8.80%,20.40%,0.116,0.293,0.242,0.31,0.358,0.669,0.294,82,333.7,2.54,-0.89,1.18
208,Johan Rojas,PHI,83,303,278,74,14,3,4,38,32,14,68,4,20,3,4.70%,22.60%,0.115,0.336,0.266,0.309,0.381,0.69,0.301,86,363.3,6.94,-0.74,1.64
209,Brayan Rocchio,CLE,92,379,343,85,19,2,6,44,38,28,72,4,10,3,7.30%,19.10%,0.116,0.295,0.247,0.308,0.362,0.671,0.295,88,500.5,3.87,-0.09,0.95
210,Ivan Herrera,STL,53,203,172,42,8,0,4,24,22,24,48,3,2,1,11.80%,23.60%,0.128,0.31,0.245,0.345,0.373,0.717,0.319,101,427.8,1.9,0.1,1.35
211,Jordan Lawlar,,80,304,273,66,13,2,7,39,31,25,77,5,13,3,8.20%,25.20%,0.138,0.31,0.243,0.315,0.381,0.696,0.305,89,346.7,6.17,0.85,1.2
212,Joc Pederson,ARI,109,426,369,93,17,3,18,55,59,46,93,7,1,1,10.90%,21.90%,0.207,0.289,0.253,0.345,0.46,0.805,0.345,116,418.7,2.68,-0.13,0.38
213,Willi Castro,MIN,104,404,363,90,18,3,9,53,39,28,94,8,23,5,6.90%,23.30%,0.14,0.307,0.247,0.313,0.388,0.7,0.306,94,294.2,2.25,0.21,1.31
214,Esteury Ruiz,OAK,123,492,443,110,23,2,8,59,40,30,103,12,54,10,6.10%,20.90%,0.115,0.305,0.248,0.312,0.363,0.674,0.298,92,130.1,1.98,0.88,2.73
215,Luis Garcia Jr.,WSN,115,467,434,119,23,3,10,54,51,25,71,2,7,3,5.50%,15.10%,0.136,0.304,0.273,0.313,0.409,0.722,0.311,93,402.4,3.62,-0.88,0.87
216,J.D. Davis,,86,313,274,68,13,1,10,36,36,31,90,4,1,0,10.00%,28.80%,0.16,0.329,0.248,0.332,0.408,0.74,0.323,103,481.2,5.28,-0.62,0.85
217,Freddy Fermin,KCR,53,196,178,46,8,1,6,22,24,14,42,2,0,0,7.20%,21.60%,0.164,0.3,0.256,0.314,0.42,0.735,0.318,100,410.2,2.37,0.67,1.38
218,Amed Rosario,TBR,96,394,369,100,17,4,7,49,41,19,71,3,10,3,4.90%,18.10%,0.124,0.316,0.27,0.308,0.394,0.702,0.304,91,342.3,4.96,1.17,1.1
219,Jake Meyers,HOU,93,351,318,75,15,2,9,41,37,25,92,5,6,2,7.20%,26.20%,0.143,0.302,0.236,0.301,0.379,0.679,0.297,88,580.3,4.02,-1.38,0.73
220,Nelson Velazquez,KCR,102,403,364,86,17,1,23,51,54,32,122,4,6,2,8.00%,30.20%,0.244,0.284,0.236,0.304,0.48,0.783,0.332,109,286.2,3.38,-0.18,0.71
221,Gio Urshela,DET,78,309,285,78,15,1,6,33,35,18,55,2,2,1,6.00%,17.80%,0.129,0.317,0.275,0.32,0.404,0.724,0.314,98,497.5,1.84,1.36,1.27
222,Luke Raley,SEA,99,390,347,81,15,1,16,49,48,28,123,12,10,2,7.20%,31.50%,0.187,0.307,0.232,0.31,0.419,0.729,0.316,104,334,2.55,0.73,0.63
223,Tim Anderson,MIA,122,523,492,137,23,2,6,62,44,24,110,4,14,4,4.70%,21.10%,0.093,0.345,0.278,0.316,0.37,0.686,0.3,86,314.8,3.55,-0.97,1.3
224,Javier Baez,DET,131,536,499,120,23,3,14,61,60,25,133,8,11,3,4.70%,24.80%,0.142,0.3,0.241,0.287,0.384,0.67,0.29,82,384,2.47,0.72,0.43
225,Pete Crow-Armstrong,,80,266,238,59,11,2,7,36,29,19,76,3,13,3,7.10%,28.40%,0.154,0.333,0.248,0.311,0.402,0.713,0.31,94,405,3.25,0.12,1.32
226,Victor Caratini,HOU,68,250,222,52,8,0,7,26,28,21,53,4,1,0,8.40%,21.00%,0.131,0.278,0.237,0.312,0.368,0.68,0.298,89,548.5,2.16,2.95,1.1
227,Andrew Benintendi,CHW,135,573,513,137,27,2,8,67,50,51,87,3,11,3,8.90%,15.20%,0.11,0.306,0.267,0.335,0.377,0.711,0.312,96,365.1,2.51,-0.04,0.88
228,J.D. Martinez,,104,467,421,108,24,1,21,59,71,38,130,3,1,0,8.10%,27.90%,0.217,0.316,0.256,0.32,0.473,0.793,0.337,113,259.3,3.97,0.5,0.57
229,Starling Marte,NYM,116,485,442,116,20,3,11,60,48,29,96,10,26,7,6.00%,19.80%,0.131,0.31,0.262,0.321,0.393,0.714,0.312,96,220.2,3.63,0.25,1.27
230,Christian Bethancourt,MIA,82,297,279,67,13,0,10,34,33,14,74,2,2,1,4.60%,25.00%,0.153,0.291,0.24,0.277,0.393,0.67,0.288,78,466.6,1.56,-0.14,0.87
231,Wilmer Flores,SFG,96,382,339,87,17,1,14,45,48,34,57,5,0,0,9.00%,14.90%,0.18,0.267,0.255,0.33,0.436,0.765,0.331,109,369.2,2.69,-0.59,0.62
232,Will Benson,CIN,111,423,360,82,17,4,13,57,44,54,130,4,17,4,12.80%,30.70%,0.178,0.316,0.229,0.335,0.407,0.742,0.325,98,305.5,2.76,0.4,0.92
233,Marco Luciano,SFG,107,418,373,84,17,1,11,45,43,39,132,3,5,1,9.40%,31.60%,0.14,0.312,0.224,0.302,0.364,0.666,0.293,83,473.7,3.77,-0.26,0.52
234,Seth Brown,OAK,118,460,416,96,21,2,20,51,62,38,124,3,6,2,8.20%,26.90%,0.202,0.277,0.23,0.297,0.432,0.73,0.312,102,478.8,2.33,-0.87,0.6
235,Michael A. Taylor,,89,345,314,72,12,1,12,41,40,24,103,3,8,2,7.10%,29.90%,0.163,0.301,0.231,0.291,0.394,0.685,0.297,86,607.1,3.78,-0.06,0.77
236,Anthony Rizzo,NYY,120,509,444,105,18,1,21,63,64,47,104,15,3,2,9.20%,20.50%,0.186,0.264,0.238,0.329,0.423,0.753,0.327,106,270.7,3.08,-0.22,0.45
237,Joey Ortiz,MIL,87,322,295,76,16,2,6,38,35,21,66,3,5,1,6.40%,20.40%,0.127,0.309,0.257,0.308,0.384,0.692,0.3,86,438.7,2.69,1.75,1.05
238,Nick Madrigal,CHC,74,282,258,72,13,2,1,32,25,15,27,6,7,2,5.40%,9.70%,0.075,0.31,0.281,0.334,0.356,0.69,0.306,92,714.7,2.92,0.28,1.64
239,Jose Caballero,TBR,77,273,233,53,11,1,5,34,25,29,63,8,21,4,10.60%,23.10%,0.122,0.285,0.227,0.329,0.348,0.678,0.304,91,374,2.65,0.51,1.65
240,Myles Straw,CLE,111,431,386,95,18,2,2,48,30,37,76,2,17,4,8.70%,17.60%,0.069,0.301,0.247,0.314,0.316,0.631,0.283,79,639.8,3.02,-0.06,1.42
241,Ramon Urias,BAL,73,281,253,63,13,1,6,31,30,21,68,5,2,1,7.30%,24.20%,0.131,0.314,0.249,0.315,0.38,0.695,0.305,95,696.4,2.38,1.04,1.08
242,Alex Kirilloff,MIN,95,378,339,90,17,1,12,45,48,29,88,6,2,1,7.80%,23.30%,0.169,0.321,0.265,0.332,0.433,0.765,0.331,112,342.5,3.65,0.11,0.76
243,Matt Vierling,DET,100,404,365,94,17,3,8,47,38,31,83,4,7,3,7.70%,20.60%,0.129,0.311,0.258,0.321,0.387,0.707,0.309,95,444.3,3.59,0.1,0.89
244,Michael Conforto,SFG,115,470,407,101,19,0,14,56,55,51,104,8,3,1,10.90%,22.20%,0.156,0.295,0.247,0.341,0.403,0.744,0.325,105,419.2,2.64,-1.72,0.18
245,Miguel Amaya,CHC,65,234,203,46,10,0,7,25,26,22,63,7,1,0,9.20%,26.80%,0.153,0.287,0.225,0.317,0.378,0.694,0.306,92,474,1.22,-0.24,1.08
246,Wilyer Abreu,BOS,94,371,324,78,17,1,12,47,44,43,97,2,9,3,11.50%,26.20%,0.168,0.308,0.242,0.333,0.411,0.744,0.325,100,379.9,5.14,0.02,0.65
247,Connor Wong,BOS,101,363,334,79,18,1,11,42,39,21,111,4,6,2,5.70%,30.60%,0.158,0.319,0.237,0.287,0.395,0.683,0.295,79,340.3,2.1,-0.45,0.69
248,Jake Fraley,CIN,106,409,357,90,18,1,15,52,54,43,87,5,16,4,10.60%,21.30%,0.178,0.292,0.252,0.339,0.43,0.769,0.333,104,340.6,3.33,-0.37,0.78
249,Josh Bell,MIA,141,593,519,132,25,1,20,68,73,65,116,4,0,0,10.90%,19.50%,0.171,0.289,0.255,0.34,0.425,0.765,0.332,107,285.5,1.75,0.57,0.49
250,Nick Fortes,MIA,84,297,269,62,12,1,8,32,30,19,54,6,4,2,6.50%,18.20%,0.139,0.26,0.231,0.295,0.37,0.665,0.291,80,484.4,2.37,0.17,0.95
251,Jose Abreu,HOU,137,583,521,133,26,1,18,68,79,46,120,9,0,0,7.90%,20.60%,0.156,0.297,0.256,0.324,0.412,0.736,0.32,104,289.9,2.21,-0.41,0.61
252,Jesus Sanchez,MIA,115,449,404,100,20,3,17,52,56,38,117,4,3,1,8.50%,26.00%,0.188,0.304,0.247,0.317,0.435,0.752,0.324,102,403.3,2.09,0.62,0.35
253,Ceddanne Rafaela,BOS,99,381,356,91,20,3,9,49,43,17,91,5,14,4,4.50%,24.00%,0.15,0.315,0.255,0.295,0.405,0.7,0.301,84,361.6,4.62,-0.21,0.96
254,JJ Bleday,OAK,113,450,389,83,19,2,14,49,46,54,112,3,6,2,12.10%,25.00%,0.168,0.258,0.213,0.312,0.381,0.693,0.305,97,577.6,1.2,-1.16,0.65
255,Darell Hernaiz,OAK,83,340,312,78,16,2,5,35,31,21,59,3,8,2,6.10%,17.40%,0.106,0.291,0.249,0.299,0.355,0.654,0.287,84,531.7,1.64,-0.58,1.15
256,Yasmani Grandal,PIT,81,306,263,60,11,0,7,29,30,37,65,3,0,0,12.20%,21.20%,0.123,0.272,0.227,0.326,0.35,0.676,0.302,86,494.1,1.83,0.32,0.88
257,Drew Waters,KCR,83,314,283,68,15,3,8,39,32,26,97,3,12,3,8.20%,30.80%,0.163,0.33,0.239,0.307,0.402,0.709,0.308,93,503.7,3.93,-0.15,1.11
258,Brett Baty,NYM,108,428,384,91,16,0,12,48,48,37,115,4,2,1,8.60%,26.90%,0.142,0.306,0.238,0.31,0.38,0.69,0.303,90,369.1,2.39,-0.08,0.32
259,Jared Triolo,PIT,78,316,280,71,15,1,5,37,30,31,81,2,9,2,9.90%,25.70%,0.114,0.337,0.252,0.331,0.367,0.698,0.309,91,527.8,5.24,1.13,1.21
260,Jarred Kelenic,ATL,120,485,433,105,25,2,16,62,60,45,136,3,14,4,9.40%,28.10%,0.179,0.312,0.242,0.317,0.421,0.738,0.318,97,211.8,2.07,-0.73,0.49
261,Cavan Biggio,TOR,94,358,307,69,15,1,9,46,37,43,94,5,5,1,12.10%,26.20%,0.144,0.292,0.226,0.328,0.37,0.699,0.31,97,457.3,1.96,-0.12,0.6
262,Christian Vazquez,MIN,76,283,261,63,12,0,5,28,28,18,57,2,2,1,6.40%,20.10%,0.102,0.29,0.241,0.293,0.344,0.637,0.28,76,499.1,0.66,0.44,1.09
263,Tom Murphy,SFG,55,200,179,43,8,0,8,23,23,18,56,2,0,0,9.10%,28.20%,0.175,0.309,0.243,0.316,0.418,0.734,0.319,100,522,1.92,0.05,1.29
264,Jason Heyward,LAD,96,354,317,78,16,1,11,44,40,31,66,4,3,1,8.60%,18.70%,0.162,0.277,0.246,0.318,0.408,0.726,0.316,98,553.2,2.98,-1.36,0.63
265,Tommy Pham,,110,448,396,98,20,2,13,57,50,45,106,4,14,4,10.00%,23.60%,0.158,0.303,0.248,0.327,0.406,0.733,0.32,101,349.5,2,-0.58,0.64
266,Nick Castellanos,PHI,144,614,568,149,32,1,24,75,86,36,156,4,8,2,5.90%,25.40%,0.189,0.318,0.263,0.31,0.452,0.761,0.325,103,109.6,2.2,0.4,0.53
267,Carson Kelly,DET,73,264,235,52,11,0,6,26,26,24,59,3,1,0,9.10%,22.50%,0.125,0.268,0.222,0.299,0.347,0.646,0.286,79,677.5,1.34,-0.78,1.01
268,Brandon Belt,,74,320,272,63,12,1,14,40,39,42,100,3,1,0,13.30%,31.20%,0.208,0.303,0.23,0.339,0.437,0.776,0.337,113,599.2,1.4,-0.23,0.65
269,Gabriel Arias,CLE,84,301,272,63,13,1,9,33,31,23,87,3,3,2,7.50%,28.90%,0.147,0.307,0.232,0.296,0.379,0.675,0.295,87,559.9,5.16,-1.07,0.91
270,Mitch Haniger,SEA,110,453,408,95,18,1,19,53,57,36,118,6,1,0,7.90%,26.00%,0.187,0.278,0.233,0.301,0.421,0.722,0.311,101,390,3.35,-1.45,0.43
271,Josh Rojas,SEA,81,308,273,65,14,1,5,36,29,29,69,1,10,2,9.30%,22.40%,0.114,0.298,0.239,0.311,0.353,0.664,0.293,88,484.4,2.1,0.42,1.16
272,Hunter Renfroe,KCR,116,479,434,106,24,0,19,56,62,37,105,3,1,0,7.80%,22.00%,0.192,0.277,0.244,0.306,0.436,0.742,0.319,101,373.2,3.23,-0.31,0.4
273,Patrick Wisdom,CHC,80,307,272,57,11,0,18,40,45,29,110,4,4,2,9.60%,35.70%,0.238,0.27,0.21,0.294,0.448,0.743,0.318,100,591.4,3.3,0.73,0.76
274,Mike Tauchman,CHC,74,288,247,60,13,1,5,38,29,35,67,3,5,1,12.30%,23.40%,0.124,0.308,0.242,0.341,0.366,0.707,0.315,98,663.3,2.2,1.1,1.02
275,Kyle Farmer,MIN,73,278,253,63,12,1,6,32,31,16,57,6,2,1,5.60%,20.60%,0.13,0.293,0.247,0.305,0.377,0.682,0.298,89,486.5,2.09,0.17,1.03
276,Andy Ibanez,DET,72,275,252,64,14,1,7,30,30,19,48,2,2,1,6.90%,17.40%,0.147,0.288,0.255,0.311,0.401,0.712,0.31,95,652.8,1.73,0.17,1.14
277,Noelvi Marte,CIN,55,223,201,54,11,1,6,28,25,18,46,2,8,2,7.90%,20.80%,0.153,0.316,0.266,0.329,0.419,0.748,0.324,97,190.2,8.18,0.76,1.48
278,Santiago Espinal,TOR,73,264,241,63,13,0,3,29,25,19,38,2,4,2,7.20%,14.50%,0.098,0.297,0.261,0.319,0.359,0.678,0.299,89,732.3,2.82,0.6,1.36
279,Abraham Toro,OAK,93,330,297,69,16,1,8,34,35,26,66,4,3,1,7.80%,19.90%,0.137,0.272,0.232,0.301,0.369,0.67,0.293,89,655.2,2.05,-2.07,0.81
280,Max Stassi,CHW,60,229,203,43,8,1,7,23,23,21,67,3,0,0,9.30%,29.30%,0.144,0.276,0.211,0.293,0.355,0.648,0.287,78,602.7,1.91,-0.83,1.07
